id,age,npset,testirt2,oc_comp,oc_reg,irregular
161,27,0,0.31142372,1,12,reg
162,22,1,0.88678247,5,9,reg
163,15,0,-1.0876698,0,0,reg
164,28,1,-1.3331585,0,0,reg
165,25,1,-0.43735144,5,12,reg
166,28,0,0.88678247,1,2,reg
167,29,0,0.31142372,8,8,reg
168,22,2,-0.55680001,0,1,irreg
169,19,1,0.31142372,0,0,reg
170,47,3,0.38179988,0,0,reg
171,20,0,0.13725428,0,0,reg
172,18,3,0.38179988,0,0,reg
173,23,0,0.88678247,0,0,reg
174,NA,0,-0.15778638,NA,NA,reg
175,21,0,-1.2562581,NA,NA,reg
176,24,0,0.88678247,0,0,reg
177,38,1,0.88678247,2,4,reg
178,22,0,-0.38694817,NA,NA,reg
179,41,0,-1.6810683,0,0,reg
180,21,0,-0.06728372,NA,NA,reg
181,31,0,-0.1357865,0,0,reg
182,18,2,0.88678247,1,1,reg
183,19,0,-0.47993225,0,0,reg
184,22,1,0.31142372,0,0,reg
185,52,0,0.38179988,0,0,reg
186,25,0,-0.8717953,NA,NA,reg
187,19,2,0.38179988,2,3,reg
188,NA,0,-1.2725224,1,2,reg
189,NA,0,-0.44437119,NA,NA,reg
190,37,0,-1.1168857,0,0,reg
191,51,2,0.31142372,1,1,reg
192,24,2,0.25758731,0,0,reg
193,22,0,-0.70425928,NA,NA,reg
194,32,0,-0.072321698,1,1,reg
195,42,1,-0.63549179,0,0,reg
196,NA,0,0.88678247,1,1,reg
197,28,1,-0.29599166,0,0,reg
198,43,0,0.31142372,0,0,reg
199,22,2,0.30522463,0,0,irreg
200,37,0,0.30522463,1,1,reg
201,44,2,0.88678247,1,4,reg
202,19,0,-0.2671169,0,0,reg
203,24,0,-0.27303874,1,1,reg
204,23,0,0.88678247,0,6,reg
205,18,1,-0.17797375,0,0,reg
206,21,0,0.88678247,0,0,reg
207,69,1,0.88678247,NA,NA,reg
208,18,1,0.88678247,10,10,reg
209,NA,5,0.88678247,0,2,reg
210,21,2,0.88678247,NA,NA,irreg
211,28,0,-0.70527947,0,1,reg
212,28,1,-0.50680459,0,0,reg
213,NA,1,0.30522463,0,0,reg
214,27,0,0.88678247,2,6,reg
215,22,8,0.28331673,NA,NA,reg
216,28,0,-1.0130481,3,3,reg
217,28,1,-0.87610584,0,0,irreg
218,24,1,-0.5788061,0,0,reg
219,35,1,-2.8655179,0,1,reg
220,39,0,-0.52395439,0,0,reg
221,40,1,-0.21159379,0,5,reg
222,21,0,-0.9351452,NA,NA,reg
223,32,0,-1.612725,0,0,reg
224,18,0,-0.8672002,0,0,reg
225,17,7,0.38179988,0,0,reg
226,33,1,0.88678247,0,1,reg
227,22,0,0.88678247,1,3,reg
228,27,0,-0.63549179,0,0,reg
229,35,0,-0.072321698,1,3,reg
230,15,0,-0.76717037,0,0,reg
231,67,0,-0.1195383,0,0,reg
232,18,1,0.88678247,0,0,reg
233,32,0,-0.075920001,0,3,reg
234,22,8,-0.17322749,0,0,reg
235,19,1,-0.39115804,0,1,reg
236,29,1,-0.30191109,2,2,reg
237,23,4,0.88678247,0,1,reg
238,19,0,0.88678247,7,7,reg
239,41,2,0.30522463,0,1,reg
240,15,0,-0.56063688,0,0,reg
241,25,0,-1.1207806,1,1,reg
242,25,0,-1.7845178,0,0,reg
243,27,2,0.39288607,0,0,reg
244,27,0,0.14470895,0,0,reg
245,30,1,-0.55404812,0,0,irreg
246,34,0,-0.82143676,NA,NA,reg
247,23,1,-0.17797375,12,12,reg
248,22,0,-0.83942729,NA,NA,reg
249,35,0,-1.7226452,NA,NA,reg
250,32,0,-0.63180405,0,0,reg
251,44,3,-1.2634413,0,0,reg
252,22,3,0.88678247,0,2,reg
253,25,0,0.39288607,NA,NA,reg
254,18,1,0.39288607,0,0,reg
255,25,0,-0.58379483,0,2,reg
256,31,0,-0.2671169,0,0,reg
257,39,4,-0.55173874,0,0,reg
258,32,1,0.88678247,NA,NA,reg
259,NA,0,0.39288607,0,3,reg
260,23,0,0.88678247,0,0,reg
261,20,0,-0.17797375,NA,NA,reg
262,37,0,0.39288607,12,12,reg
263,NA,4,-2.8655179,0,0,reg
264,NA,0,-0.06728372,NA,NA,reg
265,32,0,-0.1195383,NA,NA,reg
266,28,0,0.88678247,1,10,reg
267,39,2,0.88678247,2,3,reg
268,39,1,-1.1258512,0,NA,irreg
269,19,7,0.88678247,0,0,reg
270,25,0,-0.37584937,0,2,reg
271,28,0,-0.70527947,0,0,reg
272,48,6,0.88678247,2,2,irreg
273,29,7,0.88678247,1,3,reg
274,27,2,0.88678247,0,2,reg
275,29,0,-0.5788061,0,2,reg
276,28,0,-0.93190694,0,0,reg
277,53,0,-1.2096363,0,1,reg
278,NA,0,0.88678247,NA,NA,reg
279,17,7,-0.2671169,NA,NA,irreg
280,23,0,-2.8655179,NA,NA,reg
281,25,0,-0.63055974,0,0,reg
282,NA,4,-0.80410242,3,6,reg
283,19,1,0.88678247,0,0,reg
284,18,3,0.39288607,5,5,irreg
285,28,7,-0.17797375,4,4,reg
286,31,1,0.25758731,0,0,reg
287,20,8,0.88678247,0,0,reg
288,18,3,-0.010241032,0,0,reg
289,53,8,0.39288607,1,4,reg
290,21,0,-1.1496425,0,1,reg
291,24,2,0.31142372,0,0,reg
292,29,6,0.14066601,3,5,reg
293,26,8,-0.10451905,0,3,reg
294,19,0,0.13725428,0,0,reg
295,23,0,0.88678247,0,4,reg
296,26,0,0.30522463,0,0,reg
297,29,0,-1.6775967,0,0,reg
298,24,4,0.88678247,1,1,irreg
299,20,5,-0.76717037,0,4,irreg
300,25,0,0.38179988,0,0,reg
301,25,0,-0.59787112,2,2,reg
302,NA,8,-0.075920001,3,3,reg
303,23,0,0.88678247,0,0,reg
304,28,0,-1.3157533,0,0,reg
305,32,0,-0.010241032,0,0,reg
306,44,2,-2.8655179,1,4,reg
307,27,4,0.88678247,2,2,reg
308,18,8,0.31142372,0,0,reg
309,20,0,-2.0281785,NA,NA,irreg
310,NA,0,0.38179988,NA,NA,reg
311,26,1,0.88678247,0,0,reg
312,35,1,-0.87048346,0,0,reg
313,29,0,0.25758731,NA,NA,reg
314,31,7,0.88678247,NA,NA,reg
315,NA,1,0.88678247,0,12,reg
316,24,0,-0.075920001,0,0,reg
317,23,0,0.88678247,0,0,reg
318,35,3,0.88678247,1,2,reg
319,29,1,-0.075920001,0,0,irreg
320,NA,0,-0.26854062,0,0,reg
321,19,0,0.88678247,12,NA,reg
322,17,2,0.13725428,1,1,reg
323,33,2,-0.1195383,0,0,reg
324,19,0,0.38179988,1,1,reg
325,NA,6,0.88678247,0,0,irreg
326,48,7,0.88678247,0,0,reg
327,25,0,-1.9219929,0,2,reg
328,33,8,-0.072321698,0,0,reg
329,30,2,0.88678247,0,0,reg
330,17,0,-0.58379483,0,0,reg
331,20,0,-0.2671169,0,1,reg
332,22,2,0.30522463,0,12,reg
333,22,0,0.88678247,5,5,reg
334,21,0,0.88678247,0,0,reg
335,32,2,-0.11297655,0,0,reg
336,18,0,0.88678247,1,3,reg
337,26,0,0.003486572,0,1,reg
338,NA,0,0.25758731,0,0,reg
339,50,0,0.88678247,5,5,reg
340,19,0,-1.3157533,0,0,reg
341,32,1,-0.072321698,0,1,reg
342,25,5,0.14470895,1,1,reg
343,17,0,0.88678247,1,3,reg
344,24,1,-0.2177036,NA,NA,reg
345,27,0,-0.46766704,0,3,reg
346,31,1,0.88678247,1,2,reg
347,32,0,-0.50680459,0,0,reg
348,41,1,-0.55404812,0,2,reg
349,NA,1,0.88678247,0,2,reg
350,52,0,0.88678247,1,2,reg
351,33,4,0.88678247,8,12,reg
352,49,0,-2.329015,NA,NA,reg
353,23,0,0.31142372,1,3,reg
354,34,4,-0.072321698,3,NA,reg
355,13,0,-0.88343817,NA,NA,reg
356,47,0,0.13725428,0,0,reg
357,NA,0,-0.080933593,0,0,reg
358,27,1,0.38179988,0,0,reg
359,26,0,-2.8655179,NA,NA,reg
360,28,0,0.88678247,7,7,reg
361,23,5,0.88678247,NA,NA,reg
362,27,4,0.88678247,1,3,irreg
363,24,0,-0.47993225,4,4,reg
364,NA,1,0.13725428,0,0,reg
365,NA,1,0.88678247,0,5,reg
366,35,0,-0.55288452,0,0,reg
367,21,3,0.38179988,1,5,irreg
368,19,8,0.14470895,0,0,reg
369,18,1,-0.27303874,0,0,reg
370,32,0,0.88678247,2,4,reg
371,31,1,0.26567224,1,1,reg
372,23,0,-1.8541157,NA,NA,irreg
373,27,0,0.88678247,1,1,reg
374,24,1,-0.080933593,0,0,reg
375,21,0,-0.97348052,NA,NA,reg
376,29,0,-1.6298058,7,6,reg
377,24,0,0.88678247,NA,NA,reg
378,43,2,-0.39115804,1,2,reg
379,21,1,-1.9898157,0,1,reg
380,39,0,0.30522463,0,0,reg
381,21,0,-0.080933593,0,0,reg
382,44,0,-0.2177036,1,2,reg
383,46,0,0.88678247,0,1,irreg
384,26,0,0.39288607,0,0,reg
385,17,0,0.88678247,0,3,reg
386,24,0,0.30522463,0,0,reg
387,30,5,0.88678247,1,2,reg
388,NA,2,0.88678247,1,1,reg
389,16,7,-2.8655179,0,3,irreg
390,31,2,0.30522463,1,1,reg
391,20,0,-0.97348052,0,1,reg
392,33,2,0.88678247,1,2,reg
393,33,0,-1.1285203,0,1,reg
394,29,0,0.14470895,NA,NA,reg
395,35,5,0.13725428,0,0,reg
396,47,1,0.88678247,0,1,reg
397,21,2,-0.38008529,NA,NA,irreg
398,24,3,-0.1357865,0,0,irreg
399,NA,5,0.14470895,2,4,reg
400,26,0,-0.79624808,1,5,irreg
401,26,1,-1.4317293,1,1,reg
