id,age,npset,testirt2,oc_comp,oc_reg,irregular
698,35,7,0.88678247,4,6,irreg
699,11,1,-0.89854485,0,0,reg
700,25,1,-0.20973253,0,1,reg
701,21,0,-0.080933593,0,0,reg
702,36,2,0.88678247,1,1,reg
703,16,8,0.88678247,1,2,reg
704,20,0,-2.2146485,NA,NA,reg
705,20,2,-0.10451905,0,0,reg
706,53,0,0.31142372,1,2,reg
707,23,0,0.30522463,NA,NA,reg
708,37,1,0.31142372,12,12,reg
709,23,1,-0.06728372,0,0,reg
710,45,1,0.30522463,0,0,reg
711,26,0,-0.27303874,NA,NA,reg
712,33,0,-0.2671169,0,2,reg
713,18,0,-1.5092458,0,0,reg
714,31,0,-0.55680001,0,0,reg
715,40,0,-0.072321698,0,1,reg
716,31,1,0.13725428,1,3,reg
717,NA,2,0.39288607,0,0,reg
718,20,6,-0.080933593,0,1,reg
719,36,0,-0.27303874,NA,NA,reg
720,29,8,0.38179988,0,0,reg
721,24,1,-0.010241032,0,0,reg
722,24,0,-0.20359513,NA,NA,reg
723,49,0,-0.56769335,0,0,reg
724,18,0,0.39288607,1,1,reg
725,22,0,-0.43735144,0,0,reg
726,31,0,-1.0837269,2,2,reg
727,25,0,0.88678247,0,0,reg
728,20,0,-1.5014237,0,0,reg
729,22,0,-0.88563961,0,0,reg
730,16,8,0.30522463,NA,NA,reg
731,35,1,-0.86851406,0,0,reg
732,20,0,0.38179988,1,2,reg
733,29,0,0.88678247,0,0,reg
734,27,0,0.31142372,2,2,reg
735,40,0,-2.0247836,1,1,reg
736,21,2,-0.50442392,0,0,reg
737,23,0,0.38179988,0,0,reg
738,24,0,-0.59787112,0,0,reg
739,22,2,0.88678247,NA,NA,reg
740,59,2,0.39288607,1,NA,irreg
741,42,0,-1.1219634,0,0,reg
742,31,5,0.25758731,1,1,reg
743,38,8,0.88678247,2,3,reg
744,28,0,-1.2782385,0,0,reg
745,26,1,-1.3194715,0,1,irreg
746,33,0,-0.60280979,0,1,reg
747,21,0,-0.47993225,0,0,reg
748,22,5,0.88678247,0,0,irreg
749,29,0,-0.080933593,0,0,reg
750,33,0,-0.78397882,0,0,reg
751,17,3,-0.17797375,0,0,reg
752,NA,2,0.88678247,2,3,irreg
753,36,4,-0.10451905,0,0,reg
754,24,6,-0.6012643,0,0,reg
755,25,0,0.88678247,0,0,reg
756,46,0,0.38179988,0,1,reg
757,17,0,-0.70172191,1,1,reg
758,NA,0,-0.010241032,1,1,reg
759,44,6,0.88678247,1,2,reg
760,NA,4,0.88678247,7,8,reg
761,29,0,0.88678247,0,0,reg
762,20,3,0.88678247,9,10,reg
763,36,0,0.13725428,NA,NA,reg
764,NA,0,-1.57628,0,5,reg
765,22,0,-0.65249562,NA,NA,reg
766,62,5,0.38179988,12,12,reg
767,27,5,-0.072321698,0,1,reg
768,20,1,-1.1886449,0,0,reg
769,19,0,-2.5534945,0,0,reg
770,29,0,0.88678247,0,0,reg
771,24,0,0.31142372,0,1,reg
772,19,0,-0.1195383,0,0,reg
773,29,0,-0.55558604,0,0,reg
774,28,0,-0.1357865,0,0,reg
775,32,5,0.38179988,0,0,reg
776,50,2,0.39288607,8,12,reg
777,28,1,-0.87172645,3,3,reg
778,51,1,0.88678247,0,0,reg
779,28,0,0.88678247,NA,NA,reg
780,22,0,-0.16686191,NA,NA,reg
781,51,2,0.28331673,1,1,irreg
782,20,0,0.38179988,0,1,reg
783,NA,8,0.88678247,0,0,reg
784,20,0,-0.1357865,0,0,reg
785,42,0,0.88678247,0,0,reg
786,30,1,0.30522463,6,6,reg
787,26,1,-0.28627583,0,0,reg
788,NA,8,0.88678247,0,0,reg
789,28,1,0.88678247,0,0,reg
790,22,0,-0.47993225,0,0,reg
791,46,0,0.88678247,0,0,reg
792,24,0,-2.5534945,0,0,reg
793,25,4,0.88678247,0,0,reg
794,26,0,0.88678247,2,6,reg
795,54,0,-0.93610275,0,0,reg
796,31,1,-0.1357865,4,4,reg
797,25,7,0.88678247,0,0,reg
798,48,3,0.88678247,0,0,reg
799,21,2,0.13725428,0,0,reg
800,17,2,0.88678247,0,0,reg
801,28,1,0.88678247,3,3,reg
802,29,1,0.30522463,0,1,reg
803,28,6,0.88678247,2,2,reg
804,24,8,0.88678247,0,0,reg
805,25,1,-0.57372409,1,1,reg
806,23,1,0.13725428,4,7,reg
807,35,0,0.38179988,0,2,reg
808,23,1,-0.1195383,0,0,reg
809,38,0,-0.61610752,NA,NA,reg
810,27,0,-1.1258512,2,4,reg
811,NA,8,0.28331673,NA,NA,reg
812,25,0,-0.78974092,1,10,reg
813,21,2,0.30522463,0,0,reg
814,16,0,-0.44437119,0,0,reg
815,53,0,-0.56538963,0,1,reg
816,22,4,-0.080933593,0,0,reg
817,24,2,0.88678247,3,8,reg
818,55,5,0.88678247,0,0,reg
819,25,0,-1.07496,2,12,reg
820,18,0,-0.2177036,0,1,reg
821,26,0,0.13725428,3,3,reg
822,37,1,-0.27303874,0,1,reg
823,19,0,-0.77307546,0,0,reg
824,25,0,-1.1430445,0,0,reg
825,43,0,-0.60280979,3,5,reg
826,23,4,-0.26582298,NA,NA,reg
827,27,1,0.30522463,0,0,reg
828,25,1,-0.17322749,0,0,reg
829,19,1,0.88678247,2,3,reg
830,18,0,-1.7300831,0,0,reg
831,23,8,0.28331673,NA,NA,reg
832,57,0,-1.3968008,0,0,reg
833,26,1,-0.010241032,1,2,reg
834,45,0,-0.99810064,1,1,reg
835,28,0,0.30522463,NA,NA,reg
836,26,0,0.88678247,0,1,reg
837,39,0,0.30522463,0,0,reg
838,18,0,0.88678247,0,1,reg
839,38,1,0.38179988,3,5,reg
840,32,8,0.88678247,NA,NA,reg
841,55,1,-0.39373305,0,0,irreg
842,37,0,0.88678247,0,0,reg
843,40,0,-0.47993225,0,0,reg
844,NA,5,0.38179988,NA,NA,reg
845,21,0,0.88678247,1,1,reg
846,35,1,0.88678247,1,1,reg
847,34,0,0.30522463,NA,NA,reg
848,22,8,0.88678247,0,0,reg
849,35,3,0.88678247,0,1,reg
850,26,2,0.88678247,0,0,reg
851,30,1,-0.80410242,0,0,reg
852,26,0,0.88678247,0,2,reg
853,20,0,-0.63180405,0,0,reg
854,NA,0,0.88678247,0,0,reg
855,26,0,-1.1448131,NA,NA,reg
856,46,1,-1.4317293,0,0,reg
857,19,0,-0.84276301,0,0,reg
858,58,4,0.25758731,1,1,reg
859,24,6,-0.43735144,0,0,reg
860,17,0,-0.63549179,0,1,reg
861,19,0,0.88678247,0,0,irreg
862,33,8,0.88678247,1,3,reg
863,20,0,-0.73314607,0,0,reg
864,34,1,0.13725428,0,3,reg
865,25,0,0.88678247,0,0,reg
866,24,1,0.88678247,1,1,irreg
867,18,3,0.88678247,0,0,irreg
868,23,5,-0.49882311,0,0,reg
869,41,0,-0.072321698,1,NA,reg
870,38,0,-0.11297655,4,8,reg
871,43,3,0.39288607,2,5,reg
872,22,2,-0.46289659,0,0,reg
873,18,0,0.30522463,0,0,reg
874,24,0,-0.60280979,2,3,reg
875,24,0,0.88678247,0,0,reg
876,NA,0,0.88678247,0,2,reg
877,23,4,-1.9802715,NA,NA,reg
878,22,0,0.38179988,NA,NA,reg
879,16,0,0.30522463,0,0,reg
880,26,0,0.88678247,3,3,reg
881,28,7,0.88678247,10,10,reg
882,NA,0,-0.63549179,0,0,reg
883,24,0,0.88678247,1,1,reg
884,22,5,0.88678247,0,0,reg
885,65,0,0.38179988,1,1,reg
886,26,0,0.25758731,2,2,reg
887,39,1,-1.4439993,4,4,reg
888,24,2,-0.83942729,NA,NA,reg
889,41,1,0.26567224,0,0,reg
890,20,0,-1.0121304,0,0,reg
891,NA,0,0.88678247,1,4,reg
892,29,0,0.31142372,2,2,reg
893,39,0,0.38179988,2,2,reg
894,44,0,-0.1195383,2,4,reg
895,31,0,-2.2146485,4,0,reg
896,24,0,-0.072321698,0,2,reg
897,16,7,-0.17797375,0,0,irreg
898,24,1,-0.075920001,1,2,reg
899,27,8,0.88678247,0,2,reg
900,21,0,-0.06728372,0,0,reg
901,21,0,-0.27303874,0,1,reg
902,25,0,0.88678247,0,1,reg
903,35,0,-0.57872635,0,0,reg
904,23,0,-0.59787112,0,1,reg
905,24,0,0.88678247,0,0,reg
906,25,0,-0.080933593,12,12,reg
907,21,0,0.14066601,0,0,reg
908,17,0,0.88678247,0,0,reg
909,20,0,0.88678247,0,0,reg
910,38,6,-0.1357865,0,0,irreg
911,30,8,-0.44437119,NA,NA,reg
912,31,8,-0.46902493,1,2,reg
913,16,0,0.39288607,0,0,reg
914,NA,0,0.30522463,0,0,reg
915,29,0,-2.5534945,0,12,reg
916,30,0,0.88678247,1,2,reg
917,26,0,-0.17162523,0,1,reg
918,24,0,0.25758731,NA,NA,reg
919,22,1,0.88678247,0,2,reg
920,40,1,0.88678247,1,1,reg
921,31,0,0.39288607,1,2,reg
922,34,8,0.88678247,6,9,reg
923,31,2,0.31142372,0,0,reg
924,31,0,0.88678247,0,0,reg
925,19,0,-0.7239241,0,0,reg
926,26,0,0.39288607,0,1,reg
927,45,2,0.39288607,0,0,reg
928,NA,0,0.13725428,0,0,reg
929,NA,5,0.26567224,1,1,reg
930,27,0,-0.47304851,NA,NA,reg
931,NA,0,-0.99902129,0,0,reg
932,57,4,0.26567224,0,0,reg
933,22,0,0.88678247,1,3,reg
934,33,0,0.38179988,0,0,reg
935,42,0,-0.71824819,0,0,reg
936,25,3,-0.010241032,0,0,reg
937,27,0,0.39288607,0,3,reg
938,18,0,0.88678247,1,1,reg
939,43,0,-0.17797375,0,0,reg
940,61,7,0.25758731,0,1,irreg
941,20,2,-0.39073652,1,2,reg
942,NA,0,-0.080933593,NA,NA,reg
943,35,1,0.13725428,12,12,reg
944,45,1,-0.080933593,5,5,reg
945,27,7,0.38179988,0,0,irreg
946,NA,4,0.88678247,1,1,reg
947,27,1,-1.0731454,0,1,reg
948,57,2,-0.098670289,1,1,reg
949,24,1,-0.080933593,4,4,reg
950,27,2,0.88678247,NA,NA,reg
951,30,0,0.88678247,0,2,reg
952,27,5,-0.26582298,NA,NA,reg
953,22,0,-0.47457108,0,0,reg
954,46,7,0.30522463,0,2,reg
955,31,0,0.88678247,5,12,irreg
956,28,0,-0.15298566,0,0,reg
957,31,0,-0.010241032,0,1,reg
958,35,6,0.88678247,0,1,reg
959,23,1,0.38179988,0,0,reg
960,37,1,-0.1195383,10,10,reg
961,19,0,0.88678247,0,3,reg
962,61,1,0.38179988,0,0,reg
963,32,0,0.38179988,0,5,reg
964,22,4,-0.080933593,1,1,reg
965,15,0,-1.6324489,1,1,reg
966,23,0,-0.26260373,6,10,reg
967,25,0,0.88678247,0,3,reg
968,NA,6,0.88678247,2,4,reg
969,23,0,-0.85456294,0,0,reg
970,25,1,-0.39115804,1,1,reg
971,24,0,0.88678247,0,0,reg
972,20,6,-0.080933593,0,0,reg
973,44,0,0.39288607,0,0,reg
974,26,1,0.39288607,0,0,reg
975,18,1,0.88678247,0,1,reg
976,47,0,-0.072321698,0,0,reg
977,NA,0,-0.58379483,0,0,reg
978,15,8,0.88678247,0,0,reg
979,32,1,0.88678247,0,1,reg
980,25,0,-1.0030988,NA,NA,irreg
981,34,1,-0.080933593,0,0,reg
982,30,0,-1.0855637,0,0,reg
983,18,0,-1.1344577,0,0,reg
984,24,0,0.13725428,0,2,reg
985,29,0,0.88678247,NA,NA,reg
986,27,0,0.30522463,NA,NA,reg
987,21,2,0.13725428,0,0,irreg
988,NA,3,0.30522463,0,0,reg
989,22,3,0.30522463,0,0,reg
990,55,1,-0.7239241,0,0,reg
991,NA,4,-0.21159379,0,0,reg
992,26,2,0.38179988,1,1,irreg
993,23,0,-2.0345178,0,3,reg
994,29,1,0.88678247,1,2,reg
995,63,0,-0.5788061,1,1,reg
996,64,0,0.25758731,0,0,reg
997,20,0,0.38179988,1,3,reg
998,69,1,0.88678247,12,12,reg
999,36,0,0.38179988,0,0,reg
1000,51,6,-0.54897928,0,0,reg
1001,NA,2,-0.06728372,12,12,reg
1002,38,0,-1.0030988,0,0,reg
1003,19,5,0.39288607,0,0,reg
1004,24,0,-1.1602263,0,0,reg
1005,20,0,-0.1357865,2,0,reg
1006,26,1,-0.65249562,0,1,reg
1007,NA,0,-0.39115804,10,10,reg
1008,35,2,0.26567224,1,3,reg
1009,42,8,0.88678247,0,0,reg
1010,27,1,0.30522463,0,2,reg
1011,23,1,0.88678247,0,0,reg
1012,25,2,0.88678247,2,6,reg
1013,30,5,-0.17797375,0,0,reg
1014,28,0,0.25758731,0,5,reg
1015,20,8,0.13725428,NA,NA,reg
1016,22,0,0.88678247,0,0,reg
1017,31,0,0.88678247,NA,NA,reg
1018,20,0,0.38179988,NA,NA,reg
1019,18,1,0.88678247,0,0,reg
1020,33,2,0.88678247,0,0,reg
1021,16,1,0.25758731,0,0,reg
1022,28,0,-0.43735144,2,2,reg
1023,36,0,-0.21159379,0,0,reg
1024,19,0,-0.17797375,0,1,reg
1025,27,0,-0.84143329,1,1,reg
1026,51,1,0.38179988,0,0,reg
1027,66,0,0.88678247,1,2,reg
1028,36,1,0.25758731,0,0,reg
1029,49,1,-0.52395439,0,0,reg
1030,30,0,0.88678247,2,4,reg
1031,20,2,-0.16686191,NA,NA,reg
1032,NA,0,0.88678247,NA,NA,reg
1033,27,1,0.38179988,0,0,reg
1034,35,4,0.88678247,NA,NA,reg
1035,NA,0,-0.47304851,0,0,reg
1036,38,0,-0.29599166,0,0,reg
1037,23,4,0.88678247,0,1,reg
1038,26,0,-0.39115804,2,3,reg
1039,30,1,0.13725428,2,2,reg
1040,31,0,0.30522463,NA,NA,reg
1041,NA,0,-0.072321698,0,0,reg
1042,34,0,-0.080933593,NA,NA,reg
1043,28,1,-0.080933593,1,1,reg
1044,24,0,-0.52395439,1,12,reg
1045,28,1,0.14470895,1,6,reg
1046,23,0,-0.080933593,0,0,reg
1047,24,0,-1.9581941,0,0,reg
1048,43,8,-1.1207806,1,1,reg
1049,24,0,-0.080933593,NA,NA,reg
1050,26,0,-0.75355077,0,0,reg
1051,44,0,0.88678247,0,1,reg
1052,38,0,0.38179988,NA,NA,reg
1053,39,0,0.25758731,12,12,reg
1054,46,5,-0.93610275,12,12,reg
1055,30,0,-0.92063993,0,2,reg
1056,NA,1,0.88678247,0,0,reg
1057,29,0,0.39288607,0,3,reg
1058,21,2,-0.11297655,4,6,reg
1059,NA,3,0.88678247,0,0,reg
1060,25,0,0.88678247,0,0,reg
1061,37,0,0.30522463,0,0,reg
1062,37,2,0.88678247,1,2,reg
1063,21,2,-0.44437119,0,1,reg
1064,NA,0,-0.20973253,0,1,irreg
1065,29,6,-0.090144165,NA,NA,reg
1066,16,0,-2.5534945,NA,NA,reg
1067,NA,0,0.38179988,0,0,reg
1068,22,5,0.30522463,0,0,reg
1069,12,3,-0.47592384,NA,NA,reg
1070,38,0,-1.2645136,1,3,reg
1071,40,0,-1.567485,NA,NA,reg
1072,18,0,0.88678247,0,0,reg
1073,NA,0,0.30522463,0,0,reg
1074,27,0,-0.072321698,0,1,reg
1075,20,0,0.88678247,0,0,reg
1076,48,0,-0.75715899,2,4,reg
1077,47,2,-0.40606776,4,4,irreg
1078,55,4,-0.54511833,0,3,irreg
1079,NA,1,0.39288607,0,0,reg
1080,21,2,0.88678247,0,0,reg
1081,33,1,0.88678247,NA,NA,reg
1082,33,2,-0.87610584,4,7,reg
1083,58,2,0.26567224,0,0,reg
1084,24,0,0.13725428,1,1,irreg
1085,27,0,-0.1357865,0,0,reg
1086,22,2,-0.080933593,0,0,reg
1087,29,0,-0.70527947,1,0,reg
1088,53,6,0.88678247,2,6,reg
1089,39,0,0.88678247,10,10,reg
1090,25,1,-0.79386014,0,1,reg
1091,28,0,-1.7303454,0,0,reg
1092,NA,4,0.31142372,4,9,reg
1093,21,7,-0.06728372,0,0,reg
1094,31,4,0.88678247,1,1,reg
1095,30,0,0.30522463,2,2,reg
1096,25,0,0.88678247,0,5,reg
1097,30,0,-0.48881358,1,2,reg
1098,40,0,-0.60280979,0,0,reg
1099,NA,2,0.39288607,0,0,reg
1100,23,2,-0.60280979,0,3,irreg
1101,34,0,-0.46766704,0,0,reg
1102,31,0,-1.0593791,NA,NA,reg
1103,26,4,0.88678247,0,0,reg
1104,33,0,-0.43735144,0,0,reg
1105,NA,0,0.31142372,2,2,reg
1106,26,0,0.30522463,0,5,reg
1107,20,2,-0.84143329,0,1,reg
1108,28,0,0.88678247,0,0,reg
1109,NA,0,0.30522463,NA,0,reg
1110,28,0,0.30522463,0,0,reg
1111,18,5,0.39288607,4,6,reg
1112,35,0,0.30522463,0,0,reg
1113,NA,1,-1.3194715,0,1,reg
1114,35,1,0.88678247,2,4,reg
1115,35,1,0.88678247,0,1,irreg
1116,19,1,-0.80410242,NA,NA,irreg
1117,30,1,0.39288607,0,0,reg
1118,21,0,-0.17322749,1,1,reg
1119,53,2,0.38179988,8,8,irreg
1120,40,0,-1.9696244,NA,NA,reg
1121,27,4,-0.010241032,0,0,reg
1122,24,5,0.14470895,0,3,irreg
1123,20,0,0.88678247,1,1,reg
1124,19,2,-0.075920001,2,2,reg
1125,29,5,0.88678247,2,5,reg
1126,24,7,0.88678247,0,0,reg
1127,28,0,0.14470895,0,0,reg
1128,28,0,-0.1111121,0,0,reg
1129,NA,7,0.13725428,2,4,reg
1130,33,0,0.88678247,2,3,reg
1131,26,0,-0.38694817,0,0,reg
1132,29,0,0.88678247,2,2,reg
1133,34,0,0.30522463,0,0,reg
1134,44,0,-0.63549179,6,6,reg
1135,18,0,0.28331673,0,0,reg
1136,32,0,0.28331673,0,0,reg
1137,30,1,0.31142372,0,1,reg
1138,40,1,0.30522463,NA,NA,reg
1139,65,0,0.39288607,2,3,reg
1140,41,1,-0.17162523,2,2,reg
1141,42,0,-1.4386561,0,0,reg
1142,NA,1,-2.0670507,NA,NA,reg
1143,23,5,0.88678247,0,1,reg
1144,31,0,-0.47304851,NA,NA,reg
1145,16,4,-0.17322749,2,2,reg
1146,22,1,0.88678247,0,0,reg
1147,31,0,0.14470895,4,4,reg
1148,31,0,-0.70207882,3,3,reg
1149,24,2,0.30522463,4,4,reg
1150,NA,7,0.88678247,0,3,reg
1151,27,0,0.88678247,0,0,reg
1152,31,0,0.38179988,3,4,reg
1153,15,0,-1.4290104,2,2,reg
1154,27,0,0.88678247,0,3,reg
1155,23,0,-0.1357865,0,5,reg
1156,NA,1,0.88678247,NA,NA,reg
1157,55,7,0.88678247,0,0,reg
1158,28,0,0.38179988,NA,NA,reg
1159,27,0,-0.58379483,0,0,reg
1160,46,1,-1.182232,NA,NA,irreg
1161,26,1,-1.0152128,0,3,reg
1162,25,3,0.88678247,2,5,reg
1163,19,1,0.25758731,0,0,reg
1164,19,2,0.38179988,3,10,irreg
1165,28,4,0.39288607,0,2,reg
1166,29,0,-1.0550915,1,1,reg
1167,30,0,0.25758731,0,0,reg
1168,27,1,-0.06728372,0,0,reg
1169,NA,6,0.88678247,0,0,reg
1170,27,0,-0.46766704,1,2,reg
1171,60,1,-0.55173874,2,2,reg
1172,39,2,-2.8655179,1,1,reg
1173,36,0,0.39288607,0,0,reg
1174,17,0,0.88678247,1,1,reg
1175,44,4,0.88678247,NA,NA,reg
1176,18,0,0.38179988,1,1,reg
1177,41,0,0.31142372,0,0,reg
1178,31,1,0.88678247,0,0,reg
1179,34,6,0.88678247,0,0,reg
1180,41,0,0.28331673,0,0,reg
1181,19,8,0.88678247,0,0,reg
1182,NA,2,0.88678247,1,1,reg
1183,28,0,0.38179988,0,0,reg
1184,NA,0,0.88678247,0,0,reg
1185,21,0,-0.080933593,0,0,reg
1186,59,3,0.88678247,0,1,reg
1187,46,0,0.88678247,NA,NA,irreg
1188,28,0,0.38179988,0,0,reg
1189,17,0,-1.180486,0,0,reg
1190,21,0,-1.07496,NA,NA,reg
1191,19,1,0.30522463,2,4,reg
1192,NA,0,0.88678247,0,4,reg
1193,42,1,0.88678247,0,1,reg
1194,30,0,0.13725428,4,4,reg
1195,30,8,-0.30181825,1,2,reg
1196,48,5,-0.06728372,1,1,reg
1197,36,0,-0.17322749,0,0,reg
1198,28,6,0.88678247,0,0,irreg
1199,47,0,-0.080933593,0,0,reg
1200,29,0,-0.39115804,0,2,irreg
1201,23,0,-2.0069072,0,0,reg
1202,43,0,0.30522463,2,2,reg
1203,18,1,0.39288607,0,0,reg
1204,22,0,-0.010241032,0,0,reg
1205,26,0,0.88678247,0,0,irreg
1206,22,2,-1.1896273,NA,NA,reg
1207,32,7,0.26567224,6,10,reg
1208,50,4,0.39288607,0,0,reg
1209,24,0,-0.38008529,0,0,reg
1210,26,0,0.30522463,0,3,reg
1211,NA,1,-0.080933593,0,0,reg
1212,39,0,0.30522463,4,5,reg
1213,23,3,0.31142372,0,3,reg
1214,34,0,-1.6775414,0,1,reg
1215,37,6,0.88678247,0,2,reg
1216,18,0,-0.52395439,0,2,reg
1217,25,1,0.88678247,1,3,reg
1218,26,0,0.88678247,0,0,reg
1219,NA,1,-0.1111121,4,7,reg
1220,40,0,0.88678247,0,0,reg
1221,35,1,0.38179988,3,0,reg
1222,19,0,0.31142372,1,2,reg
1223,23,4,0.88678247,0,0,reg
1224,28,0,-0.50680459,0,0,reg
1225,61,0,-0.20973253,0,0,reg
1226,49,6,0.30522463,2,2,irreg
1227,NA,0,0.88678247,0,3,reg
1228,27,4,0.39288607,0,0,reg
1229,27,0,-2.3325877,0,0,reg
1230,27,0,0.13725428,1,1,reg
1231,33,8,-0.15298566,0,0,reg
1232,48,1,-0.17797375,0,0,reg
1233,25,2,-0.080933593,0,0,reg
1234,25,0,0.38179988,NA,NA,reg
1235,42,3,0.88678247,0,1,reg
1236,20,5,0.30522463,0,1,reg
1237,22,6,0.88678247,0,0,reg
1238,22,0,-0.63063729,1,3,reg
1239,22,0,0.88678247,1,1,reg
1240,42,2,0.88678247,1,1,reg
1241,19,3,0.30522463,3,0,reg
1242,31,2,-0.2177036,0,0,reg
1243,26,0,-1.0572201,2,2,reg
1244,42,1,0.30522463,0,0,reg
1245,24,0,-0.17322749,0,1,reg
1246,27,3,0.88678247,0,0,reg
1247,33,0,-1.0876698,0,0,reg
1248,34,8,0.38179988,1,0,reg
1249,28,3,0.88678247,NA,NA,reg
1250,28,0,-0.17797375,2,2,reg
1251,16,0,0.31142372,0,0,reg
1252,23,0,0.003486572,NA,NA,reg
1253,26,0,0.38179988,NA,NA,reg
1254,17,5,0.88678247,0,0,reg
1255,33,5,0.88678247,0,2,reg
1256,33,0,0.31142372,0,0,reg
1257,21,7,0.88678247,0,1,irreg
1258,28,3,0.88678247,0,6,reg
1259,19,4,-0.26260373,0,0,reg
1260,30,0,0.88678247,1,1,reg
1261,23,3,0.26567224,0,1,reg
1262,43,0,-0.17162523,0,0,reg
1263,20,4,-0.51872027,0,1,reg
1264,21,3,0.88678247,NA,NA,irreg
1265,61,0,0.25758731,0,0,reg
1266,43,8,0.88678247,NA,NA,reg
1267,47,0,-1.4932978,4,4,reg
1268,NA,0,-0.83032399,0,0,reg
1269,32,7,0.88678247,0,0,reg
1270,32,0,0.14066601,0,0,reg
1271,19,7,-0.4588505,0,0,irreg
1272,41,0,-0.17797375,0,0,reg
1273,31,1,0.39288607,0,0,reg
1274,19,0,-0.2671169,1,3,reg
1275,25,0,-0.63549179,0,1,reg
1276,31,0,-0.075920001,NA,NA,reg
1277,23,0,0.31142372,0,0,reg
1278,24,0,-0.075920001,NA,NA,reg
1279,31,2,0.39288607,0,3,reg
1280,47,1,-0.072321698,1,1,reg
1281,67,2,-0.2671169,0,1,reg
1282,22,0,-0.50680459,0,2,reg
1283,37,0,-0.17162523,1,2,reg
1284,56,0,-0.072321698,4,5,reg
1285,25,0,0.88678247,2,6,reg
1286,25,1,0.88678247,0,3,reg
1287,35,0,-0.39115804,0,0,reg
1288,29,0,-0.38008529,1,NA,reg
1289,31,2,0.38179988,0,0,reg
1290,31,0,0.13725428,0,2,reg
1291,31,0,0.39288607,NA,NA,reg
1292,31,0,-1.7319356,0,1,reg
1293,22,4,-0.21159379,0,1,reg
1294,26,0,0.30522463,NA,NA,reg
1295,17,1,-0.080933593,1,1,irreg
1296,28,2,-0.072321698,3,7,reg
1297,41,0,0.31142372,4,4,reg
1298,26,0,0.88678247,0,0,reg
1299,28,0,0.88678247,0,0,reg
1300,42,0,-0.7996431,7,10,reg
1301,19,0,-2.8655179,NA,NA,reg
1302,41,1,-0.96301323,12,12,reg
1303,17,0,0.30522463,0,0,reg
1304,31,0,-0.39073652,0,0,reg
1305,26,0,0.31142372,0,2,reg
1306,21,0,0.39288607,2,3,reg
1307,48,4,-1.1534724,0,0,reg
1308,38,4,0.31142372,0,0,reg
1309,26,0,0.88678247,2,2,reg
1310,NA,0,-0.98994297,1,1,reg
1311,23,1,-0.072321698,2,5,irreg
1312,27,1,-1.3293558,0,0,reg
1313,54,0,0.88678247,0,0,reg
1314,20,1,0.26567224,1,1,reg
1315,28,0,-0.58530855,0,0,reg
1316,39,2,0.88678247,NA,NA,reg
1317,18,0,0.13725428,1,1,reg
1318,19,3,0.31142372,0,1,reg
1319,30,1,-1.0612034,0,1,reg
1320,66,8,0.88678247,3,4,reg
1321,20,0,0.38179988,0,0,reg
1322,42,1,-1.8907267,NA,NA,irreg
1323,26,0,0.38179988,NA,NA,reg
1324,27,2,0.88678247,12,12,reg
1325,NA,0,-2.5534945,NA,NA,reg
1326,21,0,-0.79624808,0,2,reg
1327,27,0,-2.8655179,1,1,reg
1328,NA,1,-0.91221964,0,3,reg
1329,20,8,0.30522463,0,3,reg
1330,28,0,0.25758731,NA,NA,reg
1331,21,0,0.88678247,0,2,reg
1332,38,1,0.88678247,2,2,reg
1333,24,0,0.88678247,0,0,reg
1334,24,1,0.003486572,1,2,reg
1335,41,1,0.38179988,0,0,reg
1336,38,5,0.31142372,1,1,reg
1337,28,0,-1.2151403,0,0,reg
1338,24,0,0.31142372,0,0,reg
1339,21,0,0.30522463,0,0,reg
1340,NA,0,-0.090144165,0,3,reg
1341,NA,1,0.88678247,0,1,irreg
1342,26,1,0.88678247,0,0,reg
1343,48,1,-0.072321698,NA,NA,reg
1344,31,3,0.88678247,1,1,reg
1345,39,0,0.39288607,0,0,reg
1346,23,0,0.38179988,0,0,reg
1347,41,0,-2.5534945,1,1,reg
1348,19,0,0.38179988,0,0,reg
1349,36,0,-0.2671169,6,12,reg
1350,48,0,-1.6810683,3,4,reg
1351,17,7,-0.080933593,0,0,reg
1352,33,2,-0.81703728,NA,NA,irreg
1353,42,5,0.30522463,NA,NA,reg
1354,37,7,-0.11297655,0,0,reg
1355,35,7,-0.075920001,0,0,reg
1356,18,1,0.31142372,0,0,reg
1357,34,5,-0.46766704,0,0,reg
1358,30,0,-0.84513134,NA,NA,reg
1359,24,3,0.88678247,0,1,reg
1360,18,1,-0.87610584,0,0,reg
1361,32,0,0.39288607,0,0,reg
1362,31,4,0.30522463,2,4,reg
1363,14,0,-0.39115804,0,0,reg
1364,27,1,-0.44437119,0,0,reg
1365,19,2,-0.73314607,0,0,reg
1366,58,1,0.39288607,0,1,irreg
1367,NA,2,0.88678247,7,7,reg
1368,49,0,-0.20973253,4,4,reg
1369,29,0,-0.2177036,0,0,reg
1370,18,2,0.39288607,NA,NA,reg
1371,18,2,0.26567224,0,1,reg
1372,34,4,0.38179988,0,0,reg
1373,29,1,-0.080933593,1,1,reg
1374,23,0,0.88678247,0,1,reg
1375,30,0,-1.1925139,0,0,reg
1376,26,0,0.88678247,0,5,reg
1377,18,2,-1.8087747,0,0,reg
1378,39,0,0.88678247,0,0,reg
1379,24,8,0.38179988,3,4,reg
1380,NA,0,-0.29915106,0,0,reg
1381,26,1,-0.63549179,0,0,reg
1382,31,2,0.88678247,0,0,reg
